"","RT","true","inter","cnt","mask","noise","ID","type","eta_pro","eta_re"
"1005",437.601164799251,1,0,0,0,0,5,"1",-90,0
"1006",483.112222432328,1,0,0,0,0,5,"1",-90,0
"1007",570.649096458445,1,0,0,0,0,5,"1",-90,0
"1008",533.1185387625,1,0,0,0,0,5,"1",-90,0
"1009",519.599581738131,1,0,0,0,0,5,"1",-90,0
"1010",450.618660325093,1,0,0,0,0,5,"1",-90,0
"1011",463.142281444323,1,0,0,0,0,5,"1",-90,0
"1012",441.616827657503,1,0,0,0,0,5,"1",-90,0
"1013",468.04357439544,1,0,0,0,0,5,"1",-90,0
"1014",410.36673335616,1,0,0,0,0,5,"1",-90,0
"1015",481.124113691076,1,0,0,0,0,5,"1",-90,0
